cuda
>>> Training on scheme:  random_split
Training on fold 1
asformer

>>> Training

Train - Loss:1.0614, Accuracy:0.8316, F1:0.8000, Precision:0.9706, Recall:0.6804                || Val - Loss:0.5245, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:88
Train - Loss:0.9222, Accuracy:0.8571, F1:0.8391, Precision:0.9481, Recall:0.7526                || Val - Loss:0.5075, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:89
Train - Loss:0.9133, Accuracy:0.8367, F1:0.8140, Precision:0.9333, Recall:0.7216                || Val - Loss:0.5048, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:90
Train - Loss:0.9903, Accuracy:0.8622, F1:0.8421, Precision:0.9730, Recall:0.7423                || Val - Loss:0.5048, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:91
Train - Loss:1.0657, Accuracy:0.8214, F1:0.7853, Precision:0.9697, Recall:0.6598                || Val - Loss:0.5050, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:92
Train - Loss:1.2204, Accuracy:0.7959, F1:0.7468, Precision:0.9672, Recall:0.6082                || Val - Loss:0.5056, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:93
Train - Loss:0.9609, Accuracy:0.8571, F1:0.8333, Precision:0.9859, Recall:0.7216                || Val - Loss:0.5065, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:94
Train - Loss:1.0180, Accuracy:0.8418, F1:0.8166, Precision:0.9583, Recall:0.7113                || Val - Loss:0.5069, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:95
Train - Loss:1.2131, Accuracy:0.8316, F1:0.8024, Precision:0.9571, Recall:0.6907                || Val - Loss:0.5057, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:96
Train - Loss:1.1769, Accuracy:0.8163, F1:0.7778, Precision:0.9692, Recall:0.6495                || Val - Loss:0.5068, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:97
Train - Loss:1.1869, Accuracy:0.8265, F1:0.7952, Precision:0.9565, Recall:0.6804                || Val - Loss:0.5064, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:98
Train - Loss:0.8676, Accuracy:0.8827, F1:0.8655, Precision:1.0000, Recall:0.7629                || Val - Loss:0.5064, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:99
